,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA CIVIL,2018,53,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA CIVIL,2019,49,0,4,"92,5","0,0","7,5","0,0","7,5","0,0"
ENGENHARIA CIVIL,2020,46,0,3,"86,8","0,0","13,2","0,0","5,7","1,0"
ENGENHARIA CIVIL,2021,44,0,2,"83,0","0,0","17,0","0,0","3,8","1,0"
ENGENHARIA CIVIL,2022,37,6,1,"69,8","11,3","18,9","11,3","1,9","1,0"
ENGENHARIA FLORESTAL,2018,82,0,2,"97,6","0,0","2,4","0,0","2,4","0,0"
ENGENHARIA FLORESTAL,2019,71,0,11,"84,5","0,0","15,5","0,0","13,1","0,0"
ENGENHARIA FLORESTAL,2020,64,0,7,"76,2","0,0","23,8","0,0","8,3","1,0"
ENGENHARIA FLORESTAL,2021,59,0,5,"70,2","0,0","29,8","0,0","6,0","1,0"
ENGENHARIA FLORESTAL,2022,54,3,2,"64,3","3,6","32,1","3,6","2,4","1,0"
ENGENHARIA ELÉTRICA,2018,82,0,1,"98,8","0,0","1,2","0,0","1,2","0,0"
ENGENHARIA ELÉTRICA,2019,78,0,4,"94,0","0,0","6,0","0,0","4,8","0,0"
ENGENHARIA ELÉTRICA,2020,72,0,6,"86,7","0,0","13,3","0,0","7,2","1,0"
ENGENHARIA ELÉTRICA,2021,65,0,7,"78,3","0,0","21,7","0,0","8,4","1,0"
ENGENHARIA ELÉTRICA,2022,57,7,1,"68,7","8,4","22,9","8,4","1,2","1,0"
ENGENHARIA FLORESTAL,2018,62,0,4,"93,9","0,0","6,1","0,0","6,1","0,0"
ENGENHARIA FLORESTAL,2019,49,0,13,"74,2","0,0","25,8","0,0","19,7","0,0"
ENGENHARIA FLORESTAL,2020,47,0,2,"71,2","0,0","28,8","0,0","3,0","1,0"
ENGENHARIA FLORESTAL,2021,46,0,1,"69,7","0,0","30,3","0,0","1,5","1,0"
ENGENHARIA FLORESTAL,2022,38,5,3,"57,6","7,6","34,8","7,6","4,5","1,0"
ENGENHARIA CIVIL,2018,63,0,2,"96,9","0,0","3,1","0,0","3,1","0,0"
ENGENHARIA CIVIL,2019,62,0,1,"95,4","0,0","4,6","0,0","1,5","0,0"
ENGENHARIA CIVIL,2020,61,1,0,"93,8","1,5","4,6","1,5","0,0","1,0"
ENGENHARIA CIVIL,2021,50,8,3,"76,9","13,8","9,2","12,3","4,6","1,0"
ENGENHARIA CIVIL,2022,43,6,1,"66,2","23,1","10,8","9,2","1,5","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2018,56,0,1,"98,2","0,0","1,8","0,0","1,8","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2019,50,0,6,"87,7","0,0","12,3","0,0","10,5","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2020,49,0,1,"86,0","0,0","14,0","0,0","1,8","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2021,48,0,1,"84,2","0,0","15,8","0,0","1,8","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2022,43,3,2,"75,4","5,3","19,3","5,3","3,5","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,60,0,1,"98,4","0,0","1,6","0,0","1,6","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,57,0,3,"93,4","0,0","6,6","0,0","4,9","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,52,0,5,"85,2","0,0","14,8","0,0","8,2","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,45,2,5,"73,8","3,3","23,0","3,3","8,2","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,36,7,2,"59,0","14,8","26,2","11,5","3,3","1,0"
ENGENHARIA CIVIL,2018,93,0,7,"93,0","0,0","7,0","0,0","7,0","0,0"
ENGENHARIA CIVIL,2019,89,0,4,"89,0","0,0","11,0","0,0","4,0","0,0"
ENGENHARIA CIVIL,2020,75,1,13,"75,0","1,0","24,0","1,0","13,0","1,0"
ENGENHARIA CIVIL,2021,69,0,6,"69,0","1,0","30,0","0,0","6,0","1,0"
ENGENHARIA CIVIL,2022,59,7,3,"59,0","8,0","33,0","7,0","3,0","1,0"
ENGENHARIA FLORESTAL,2018,38,0,10,"79,2","0,0","20,8","0,0","20,8","0,0"
ENGENHARIA FLORESTAL,2019,25,0,13,"52,1","0,0","47,9","0,0","27,1","0,0"
ENGENHARIA FLORESTAL,2020,21,0,4,"43,8","0,0","56,3","0,0","8,3","1,0"
ENGENHARIA FLORESTAL,2021,15,0,6,"31,3","0,0","68,8","0,0","12,5","1,0"
ENGENHARIA FLORESTAL,2022,12,0,3,"25,0","0,0","75,0","0,0","6,3","1,0"
ENGENHARIA MECÂNICA,2018,47,0,3,"94,0","0,0","6,0","0,0","6,0","0,0"
ENGENHARIA MECÂNICA,2019,41,0,6,"82,0","0,0","18,0","0,0","12,0","0,0"
ENGENHARIA MECÂNICA,2020,32,0,9,"64,0","0,0","36,0","0,0","18,0","1,0"
ENGENHARIA MECÂNICA,2021,30,0,2,"60,0","0,0","40,0","0,0","4,0","1,0"
ENGENHARIA MECÂNICA,2022,27,1,2,"54,0","2,0","44,0","2,0","4,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,51,0,3,"94,4","0,0","5,6","0,0","5,6","0,0"
ENGENHARIA DE PRODUÇÃO,2019,48,0,3,"88,9","0,0","11,1","0,0","5,6","0,0"
ENGENHARIA DE PRODUÇÃO,2020,43,0,5,"79,6","0,0","20,4","0,0","9,3","1,0"
ENGENHARIA DE PRODUÇÃO,2021,39,1,3,"72,2","1,9","25,9","1,9","5,6","1,0"
ENGENHARIA DE PRODUÇÃO,2022,29,8,2,"53,7","16,7","29,6","14,8","3,7","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,53,0,6,"89,8","0,0","10,2","0,0","10,2","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,51,0,2,"86,4","0,0","13,6","0,0","3,4","0,0"
