"Indicadores de Trajetória dos Alunos nos Cursos de Graduação da Educação Superior 2022 (coorte 2018), composto por: Taxa de Permanência, Taxa de Conclusão Acumulada, Taxa de Desistência Acumulada, Taxa de Conclusão Anual e Taxa de Desistência Anual, organizados por cursos e instituições de ensino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Instituição,Nome da Instituição,Categoria Administrativa,Organização Acadêmica,Código do Curso de Graduação,Nome do Curso de Graduação,Código da Região Geográfica do Curso,Código da Unidade Federativa do Curso,Código do Município do Curso,Grau Acadêmico,Modalidade de Ensino,Código da área do Curso segundo a classificação CINE BRASIL,Nome da área do Curso segundo a classificação CINE BRASIL,Código da Grande Área do Curso segundo a classificação CINE BRASIL,Nome da Grande Área do Curso segundo a classificação CINE BRASIL,Ano de Ingresso,Ano de Referência,Prazo de Integralização em Anos,Ano de Integralização do Curso,Prazo de Acompanhamento do Curso em anos,Ano Máximo de Acompanhamento do Curso,Quantidade de Ingressantes no Curso,Quantidade de Permanência no Curso no ano de referência,Quantidade de Concluintes no Curso no ano de referência,Quantidade de Desistência no Curso no ano de referência,Quantidade de Falecimentos no Curso no ano de referência,Indicadores de Trajetória,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Taxa de Permanência - TAP,Taxa de Conclusão Acumulada - TCA,Taxa de Desistência Acumulada - TDA,Taxa de Conclusão Anual - TCAN,Taxa de Desistência Anual - TADA
CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,3,ENGENHARIA CIVIL,5,51,5103403,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,53,53,0,0,0,"100,0","0,0","0,0","0,0","0,0"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,3,ENGENHARIA CIVIL,5,51,5103403,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,53,49,0,4,0,"92,5","0,0","7,5","0,0","7,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,3,ENGENHARIA CIVIL,5,51,5103403,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,53,46,0,3,0,"86,8","0,0","13,2","0,0","5,7"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,3,ENGENHARIA CIVIL,5,51,5103403,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,53,44,0,2,0,"83,0","0,0","17,0","0,0","3,8"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,3,ENGENHARIA CIVIL,5,51,5103403,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,53,37,6,1,0,"69,8","11,3","18,9","11,3","1,9"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,10,ENGENHARIA FLORESTAL,5,51,5103403,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2018,6,2023,10,2027,84,82,0,2,0,"97,6","0,0","2,4","0,0","2,4"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,10,ENGENHARIA FLORESTAL,5,51,5103403,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2019,6,2023,10,2027,84,71,0,11,0,"84,5","0,0","15,5","0,0","13,1"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,10,ENGENHARIA FLORESTAL,5,51,5103403,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2020,6,2023,10,2027,84,64,0,7,0,"76,2","0,0","23,8","0,0","8,3"
