Curso,A.Referencia,Integrantes,Permanecia.A.R,Concluintes.A.R,Desistencia A.R,Taxa Permanencia,Conclusão Acumulada,Desistencia Acmld,Conclusão Anual,Desistencia Anual,Pandemia - Ead
ENGENHARIA DE REDES,2017,81,77,0,4,"95,1","0,0","4,9","0,0","4,9",0
ENGENHARIA DE REDES,2018,81,64,0,13,"79,0","0,0","21,0","0,0","16,0",0
ENGENHARIA DE REDES,2019,81,50,2,12,"61,7","2,5","35,8","2,5","14,8",0
ENGENHARIA DE REDES,2020,81,48,0,2,"59,3","2,5","38,3","0,0","2,5",1
ENGENHARIA DE REDES,2021,81,47,1,0,"58,0","3,7","38,3","1,2","0,0",1
ENGENHARIA CIVIL,2017,96,91,0,5,"94,8","0,0","5,2","0,0","5,2",0
ENGENHARIA CIVIL,2018,96,76,1,14,"79,2","1,0","19,8","1,0","14,6",0
ENGENHARIA CIVIL,2019,96,66,2,8,"68,8","3,1","28,1","2,1","8,3",0
ENGENHARIA CIVIL,2020,96,61,5,0,"63,5","8,3","28,1","5,2","0,0",1
ENGENHARIA CIVIL,2021,96,57,4,0,"59,4","12,5","28,1","4,2","0,0",1
ENGENHARIA ELÉTRICA,2017,97,94,0,3,"96,9","0,0","3,1","0,0","3,1",0
ENGENHARIA ELÉTRICA,2018,97,81,0,13,"83,5","0,0","16,5","0,0","13,4",0
ENGENHARIA ELÉTRICA,2019,97,70,1,10,"72,2","1,0","26,8","1,0","10,3",0
ENGENHARIA ELÉTRICA,2020,97,63,5,2,"64,9","6,2","28,9","5,2","2,1",1
ENGENHARIA ELÉTRICA,2021,97,55,8,0,"56,7","14,4","28,9","8,2","0,0",1
ENGENHARIA MECÂNICA,2017,99,95,0,4,"96,0","0,0","4,0","0,0","4,0",0
ENGENHARIA MECÂNICA,2018,99,78,0,17,"78,8","0,0","21,2","0,0","17,2",0
ENGENHARIA MECÂNICA,2019,99,66,0,12,"66,7","0,0","33,3","0,0","12,1",0
ENGENHARIA MECÂNICA,2020,99,57,5,4,"57,6","5,1","37,4","5,1","4,0",0
ENGENHARIA MECÂNICA,2021,99,51,4,2,"51,5","9,1","39,4","4,0","2,0",1
ENGENHARIA FLORESTAL,2017,99,95,0,4,"96,0","0,0","4,0","0,0","4,0",1
ENGENHARIA FLORESTAL,2018,99,77,0,18,"77,8","0,0","22,2","0,0","18,2",0
ENGENHARIA FLORESTAL,2019,99,64,2,11,"64,6","2,0","33,3","2,0","11,1",0
ENGENHARIA FLORESTAL,2020,99,63,0,1,"63,6","2,0","34,3","0,0","1,0",1
ENGENHARIA FLORESTAL,2021,99,55,7,1,"55,6","9,1","35,4","7,1","1,0",1
ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO,2017,89,82,7,0,"92,1","0,0","7,9","0,0","7,9",0
ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO,2018,89,76,6,0,"85,4","0,0","14,6","0,0","6,7",0
ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO,2019,89,69,7,0,"77,5","0,0","22,5","0,0","7,9",0
ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO,2020,89,62,7,0,"69,7","0,0","30,3","0,0","7,9",1
ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO,2021,89,58,3,0,"65,2","1,1","33,7","1,1","3,4",1
ENGENHARIA DE COMPUTAÇÃO,2017,104,102,2,0,"98,1","0,0","1,9","0,0","1,9",0
ENGENHARIA DE COMPUTAÇÃO,2018,104,79,23,0,"76,0","0,0","24,0","0,0","22,1",0
ENGENHARIA DE COMPUTAÇÃO,2019,104,62,16,0,"59,6","1,0","39,4","1,0","15,4",0
ENGENHARIA DE COMPUTAÇÃO,2020,104,55,6,0,"52,9","1,9","45,2","1,0","5,8",1
ENGENHARIA DE COMPUTAÇÃO,2021,104,50,0,0,"48,1","6,7","45,2","4,8","0,0",1
